# A multi-node devnet convergence soak: the status samples.
#
# Four zycordd processes on the dev engine (dev-blake3, no RandomX), five-second
# blocks, eight-block epochs, behind a chaos proxy injecting 15 ms latency,
# 0-35 ms jitter, 0.1% chunk loss and 0.05% chunk severance in both directions,
# while the harness killed and revived nodes and opened partitions. Built with
# -tags zcdguard, so the consensus-state access rules were machine-checked for
# the whole run, and every node was verified to report the guard armed before
# any chaos was applied.
#
# Regime: TestChaosSoak (55 minutes of chaos, then all but one miner stopped
# and a convergence window). Nodes a, b, c mine; d is outbound-only, the shape a
# home connection has without NAT traversal.
#
# The run: 191 kills, 379 partitions. It ended
#   converged: 4 nodes at height 1015 on one chain, one tip, one state root
#   settled convergence: height 1007,
#     id 0xa21fd355d7a48029c7593956f0c1f9fabd776e91ef21816c61d96057cddf3f28,
#     agreed by 4/4 nodes (a,b,c,d)
#   crossed 126 epoch boundaries
#   billing law: 736 certificate inclusions across 1015 blocks, no duplicates
#   liveness: no node died unbidden (12607 state samples)
#
# What to read. The columns are seconds since sampling began, the node, whether
# its RPC answered, its height, how many blocks it trailed the highest node at
# that instant, its resident memory, its thread count, its open file
# descriptors, its data directory in kilobytes, and the first eight bytes of its
# tip.
#
# reachable=false with height 0 is a node the harness had killed and not yet
# restarted; it is the disturbance working, not a defect. The trail column is
# where the latency lives: p50=0, p90=1, p99=2, max=11 blocks across 850
# node-samples, the maximum being a node catching up after a kill.
#
# On memory: read the FLOOR, not the peak. Go's collector produces a sawtooth,
# so the peak of any one node ratchets and means little -- node c touched 69.6 MB
# at t=1710 and was back to 27.4 MB by t=1755. The floor per ten-minute window
# went 13.3, 17.1, 14.3, 19.4, 23.1, 25.7 MB while the chain went from height 278
# to 1015 and the data directory from 1.5 to 6.7 MB. Memory grew about 1.9x
# while the data it holds grew about 4x, which is a cache tracking a growing
# chain rather than a leak. Threads stayed at 13 and descriptors at 21 for the
# whole run; neither moved with time.
#
# This machine was running five other test suites throughout, at a load average
# between 8 and 47 on six cores. That inflates every timing here and none of the
# convergence facts: whether four nodes hold one block id at a settled height is
# not something a slow machine answers differently.
#
# seconds	node	reachable	height	trail	rss_kb	threads	fds	disk_kb	tip
15	a	true	8	1	13332	10	13	29	0x6df4c008408d03
15	b	true	9	0	16424	11	14	31	0x0e1f48dd8228fe
15	c	true	8	1	15604	11	13	30	0x6df4c008408d03
15	d	true	9	0	15452	11	11	31	0x0e1f48dd8228fe
30	a	true	19	0	16524	11	14	59	0xcf2c44723a56ba
30	b	true	19	0	15380	11	17	60	0x784f70e262007d
30	c	true	19	0	17172	11	15	62	0x7f630053f44542
30	d	true	18	1	16472	11	11	57	0x2da6a5fff7e1a8
45	a	true	27	0	16944	11	14	85	0x55cf021175a486
45	b	true	27	0	16780	12	17	89	0x55cf021175a486
45	c	true	27	0	17128	12	15	85	0x55cf021175a486
45	d	true	27	0	16780	11	11	83	0x55cf021175a486
60	a	true	34	0	17280	11	16	105	0xbd8be188527f14
60	b	true	34	0	17212	12	16	109	0xbd8be188527f14
60	c	true	34	0	17448	12	15	106	0xbd8be188527f14
60	d	true	34	0	16784	11	12	103	0xbd8be188527f14
75	a	true	44	0	17352	11	17	150	0x17cb534895450b
75	b	true	44	0	17440	12	15	154	0x17cb534895450b
75	c	true	44	0	17768	12	14	151	0x17cb534895450b
75	d	true	44	0	17480	11	13	148	0x17cb534895450b
90	a	true	49	0	17428	11	17	183	0xe63a559464c23e
90	b	true	49	0	17332	12	17	182	0xe63a559464c23e
90	c	true	49	0	17512	12	15	179	0xe63a559464c23e
90	d	true	49	0	17180	11	13	176	0xe63a559464c23e
105	a	true	55	1	17468	11	17	216	0x33da486e18ac45
105	b	true	55	1	17688	12	17	215	0x33da486e18ac45
105	c	true	56	0	17344	12	17	213	0x36d0982a90ed18
105	d	true	54	2	17680	12	13	203	0xbd8ccbdea9cf6d
120	a	true	60	0	16752	11	16	246	0x282f88b7ba0edc
120	b	true	60	0	17728	12	17	245	0x282f88b7ba0edc
120	c	true	60	0	17440	12	16	239	0x282f88b7ba0edc
120	d	true	60	0	17724	12	13	238	0x282f88b7ba0edc
135	a	true	68	0	16976	11	17	288	0xe7e61f34bda429
135	b	true	68	0	17832	12	16	288	0xe7e61f34bda429
135	c	true	68	0	17748	12	15	281	0xe7e61f34bda429
